,323_CT,381_CT,398_CT,382_CT,397_CT,485_CT,486_CT,487_CT,488_CT,489_CT,490_CT,491_CT,492_CT,494_CT,496_CT,497_CT,498_CT,499_CT,500_CT,501_CT,472_CT,459_CT,323_LT,381_LT,398_LT,382_LT,397_LT,489_LT,496_LT,472_LT,459_LT
A0A024R2G1,-1.208292339,-1.004219515,-0.240581595,0.143151756,-0.464726167,-0.50139904,-0.185449373,0.383004492,0.317770414,-0.199659475,-0.65867857,-1.268299551,-0.908680118,0.360702841,0.146402245,-1.024584252,0.272226281,0.210205946,2.566706072,0.270999628,1.802668766,0.02278742,0.533185973,0.424995341,1.56454665,-0.801356858,3.156823702,-0.03574769,0.405403118,0.446888927,-0.470398762
A0A024R2G7,1.305649287,-1.653551292,0.20562839,1.017003137,0.211061016,0.06958841,1.168902253,1.566659221,0.536277076,-1.020197145,0.640904926,-0.226519782,0.904750848,-2.413311758,1.042892859,-0.310262037,0.360470361,0.118977141,-0.009088445,-0.583552798,-0.094749971,0.311750736,-0.353718127,-3.221514126,-0.569618694,0.080879462,-0.025252512,0.671374381,0.197616914,-0.838643259,0.881775891
A0A024R2G9,0.129492503,-1.516411046,-0.396722201,0.862881508,-0.484587104,1.61378709,0.643279164,0.720013521,0.766259881,-0.340120661,0.984136617,-1.17181604,0.055120942,-0.748175337,1.859157839,-0.303034821,0.479095039,0.037934283,0.452575664,-0.551915969,0.425301828,0.128574479,0.93555587,-3.419775295,-0.723337863,1.108032076,0.962654423,-0.130716456,0.385691829,-1.104217581,-1.042737317
A0A024R2H7,0.641902057,0.465768356,-0.163509903,-0.012366601,0.345987108,-0.86402958,-0.19807865,-0.09778143,1.00384399,0.179236019,0.089481302,-2.204324484,0.25869524,-1.367088151,1.753622936,1.065280538,0.983979796,-0.909480451,0.006737614,-1.580929183,-2.015336336,0.670127369,-0.602800936,1.681745743,0.089199404,-0.328870364,-0.309916302,1.556642378,1.307090279,0.755979942,-0.198984518
A0A024R2I7,-0.091702927,-0.446313728,1.172573172,0.774502419,0.335729115,-0.563264085,-0.167472895,-0.344040251,-0.212420953,0.016323332,-0.280214087,-0.279822344,-0.184446144,0.122026821,-0.084462874,0.282914591,-0.702793847,-1.079120175,-1.572099444,-0.395214706,-1.559880475,0.273305821,0.535049949,-1.645776782,0.671562893,0.84818381,-0.7740795,2.454155064,2.156774125,-0.866887545,0.737740601
A0A024R2K1,0.370534907,-1.592589532,-0.601155142,1.273105628,-1.095272162,0.801477441,1.767551973,0.946279951,0.502566979,-1.071628019,0.101988672,-0.289688896,1.557664994,1.31934528,0.641576261,-0.206339968,-0.226715163,0.327672625,-1.276484292,-0.190067615,-0.317398003,-0.395812519,0.240482344,-2.106540332,-0.008435779,0.704565185,1.176218348,-0.90317472,-0.543175139,-1.335733378,-0.011407057
A0A024R2K3,-0.622314845,1.853725799,-0.29986699,-0.356804499,-0.245604821,-0.443427191,1.332658791,2.833637331,0.738230564,-0.404385648,-2.416491951,-0.772497666,-2.190709707,1.122230703,0.861758278,1.534562526,-0.993549283,0.113192848,-1.625088359,-0.12895429,-1.20558143,0.790612682,0.801870042,1.593154234,0.117503125,-2.474930768,-1.434788337,-2.144772579,-1.264970848,0.360670387,-0.291190383
A0A024R2K4,0.319821101,-0.265578977,0.199833902,-0.507467288,0.207983234,0.403048955,-0.198567218,0.26334952,0.6666409,0.801714246,0.322430113,0.552422289,0.490310953,0.042337596,0.338220931,0.115012025,0.188442962,-1.262528225,-0.311856102,-1.06231387,0.330067073,0.274530992,1.437099255,0.008170199,0.01685104,0.750221818,-4.59922321,0.404101536,0.302263059,-0.142601204,0.274094576
A0A024R2L1,0.062923102,0.688056937,-0.129988949,-0.173862489,-2.785657854,-0.649062507,0.119347735,0.089495891,-0.484515171,0.322321432,0.253433191,0.12023721,0.448050413,1.620191054,0.143765403,2.257881083,-0.145380199,-0.031705333,0.67234751,0.716103275,-0.06879148,0.198729147,-0.121232325,-2.583574697,-1.302006551,1.25546434,1.35276671,-0.197433569,0.166803709,0.247720973,0.253250372
A0A024R2M6,-0.155441737,-0.905693439,0.250978471,-0.438346186,-0.331107264,0.0256941,-0.574428308,-0.102307717,-0.495486189,0.641964217,-0.944782022,-1.085276679,0.515535293,-1.822080493,-0.110514155,0.014771395,0.066666855,0.150667592,0.014696389,-1.03531405,-0.415755617,1.575447619,0.255118128,-1.676198802,-0.44860594,1.153355186,-0.14449806,2.123411826,1.341875088,-1.394283845,1.117738396
